Country,Estimate,Median download speed (Mbit/s)(Ookla),2016,Rate,% of GDP,2021 data ,2020,Ages 25-34: % equivalent to a degree course lasting at least: :2 years,Yes important,% Christian,Muslim percentage of total population,% Buddhist,pct,2020 mortality rate under-5 (per 1000 live births),Age reduced,Annual Nominal US$,% of GDP.1,%,2018,All,Total Fertility rate in 2021 (births/woman),Cigarettes,Obesity rate (%),Pct,median 2018 Combined,Score,Oil production April 2022 (bbl/day),UN 2015-20,Life expectancy at birth All,kg/person (2002),Rates per 100000,Elderly (65+) rate,Women,(% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr),Scientific publications per capita (per million),Titles,kilocalories,Average yearly temperature (1961-1990 Celsius)
Sri Lanka,0.0,,0.0,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0
Sudan,0.0,,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0
Suriname,0.0,,0.0,1.0,,0.0,1.0,,,0.0,1.0,1.0,0.0,1.0,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,1.0
Sweden,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Switzerland,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Syria,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0
São Tomé and Príncipe,0.0,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,1.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0
Taiwan,,1.0,,,0.0,,1.0,,,,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,,,,,1.0,1.0,1.0,0.0,0.0,,,1.0,,1.0,,,0.0,1.0,1.0,1.0,
Tajikistan,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0
Tanzania,0.0,,1.0,1.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
Thailand,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Timor-Leste,0.0,,,,,,,,,1.0,,,,,1.0,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,1.0,,,,0.0,,,0.0,,0.0,1.0
Togo,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0
Tonga,0.0,,0.0,0.0,,1.0,,,,1.0,0.0,0.0,,0.0,,,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,,1.0,,,1.0
Trinidad and Tobago,1.0,0.0,1.0,1.0,,1.0,1.0,,,0.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0
Tunisia,0.0,,0.0,1.0,,0.0,1.0,,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0
Turkey,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Turkmenistan,1.0,,0.0,0.0,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,1.0,,,1.0,,,,,,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,0.0,,,
Tuvalu,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,1.0,,,0.0,,1.0,,1.0,,1.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,1.0
U.S. Virgin Islands,,,,1.0,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,1.0,1.0,,,,,,1.0,,,,,,0.0,,,
Uganda,0.0,,1.0,1.0,,0.0,0.0,,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ukraine,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
United Arab Emirates,1.0,1.0,0.0,0.0,,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0
United Kingdom,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Uruguay,1.0,0.0,1.0,1.0,,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0
Vanuatu,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,1.0
Vatican City,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,0.0,,
Venezuela,0.0,,0.0,1.0,,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0
Vietnam,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Wallis and Futuna,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,1.0,,,,,,,,,,,,0.0,,,
Western Sahara,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,
Yemen,0.0,,0.0,1.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0
Zambia,0.0,,0.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
Zimbabwe,0.0,,0.0,1.0,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
